system:index,Aspect,Eastness,Elevation,GaussianCurvature,HAND,Hillshade,HorizontalCurvature,MaximalCurvature,MeanCurvature,MinimalCurvature,Northness,PRCPTOT,ShapeIndex,Slope,TPI,VerticalCurvature,lineament,presence,.geo
000000000000000001c9_0,330.427864482783,-0.49351894935527263,1233.9969758035868,-1.1633679504675189E-7,275.88528,0.9504005005093865,1.0470482380534652E-5,1.4804706278232632E-4,-3.1888124111959567E-4,-7.858095450215177E-4,0.8697350439227269,1341.8206,-0.43476932419262837,18.12707975336468,38,-6.482329646197261E-4,0.9936999,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002a8_0,215.16027643458824,-0.575865645393192,1049.519890764131,6.541463209969077E-7,141.95648,0.9626877349381584,-0.0015403165455868705,-2.9724336357619203E-4,-0.001248976477142898,-0.002200709590709604,-0.8175443464766192,1353.412,-0.8354475737335434,15.533445591976236,21,-9.576364086989255E-4,0.97272825,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002b5_0,145.95903856145253,0.5597854494021405,1119.5774846829977,-1.1369448796956996E-6,4.1852627,0.9930514501903545,0.001053625988585172,0.001092175726126698,2.5592464521682555E-5,-0.001040990797083333,-0.8286375870292414,1573.9415,0.015275571560725058,6.763314059721196,-80,-0.0010024410595418072,0.3897346,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000041c_0,5.098879030195455,0.0888748096905515,936.5128197128151,3.5178822066847846E-7,227.42476,0.8893348137326517,-4.1172356641776985E-4,-4.1077905929496575E-4,-6.335859197851212E-4,-8.563927802752767E-4,0.9960428044027366,1612.1025,-1.810327218567538,27.318789931046336,29,-8.554482731524727E-4,1.3435022,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000640_0,171.24790320125896,0.1521595562071754,1659.867996030985,-9.94834682681724E-7,441.8541,0.7942096617051103,3.0736220155771636E-4,0.0014549251501879703,3.8557739888639967E-4,-6.83770352415171E-4,-0.9883559426921231,1353.412,0.22954758693827285,37.3481212887748,132,4.63792596215083E-4,0.9184459,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006a4_0,57.26347195041586,0.8411661889830664,948.651285230138,6.965389256478681E-8,126.96784,0.9523562843282573,-0.001084734458217462,-5.612524911878763E-5,-6.485845256503468E-4,-0.001241043802181906,0.5407767030038408,1612.1025,-0.6969284631644468,17.93928505806943,-39,-2.1243459308323157E-4,1.4974424,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000006ac_0,34.581167454172075,0.5675731577475192,575.8702274110847,3.117670438752186E-8,5.2930007,0.9978071114403811,-2.6250018379903934E-4,-1.0864637591396242E-4,-1.9780107263217203E-4,-2.8695576935038167E-4,0.8233229685879714,1612.1025,-1.4124222107015156,3.9609270684681137,-58,-1.3310196146530467E-4,0.9447952,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000748_0,15.455989476892825,0.2664981052657672,537.0472346158742,-1.3606352449013152E-6,7.3139706,0.9886356372642446,-1.1837161800556264E-4,8.359063662517674E-4,-3.959150321638561E-4,-0.0016277364305794797,0.9638354423291126,1588.4065,-0.2046135405483641,8.778605009997504,-50,-6.734584463221496E-4,1.1697291,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000007ed_0,259.32069050137557,-0.9826797799133576,1292.7055816551224,-4.839255374989288E-7,257.43323,0.9582175021280559,4.7301340373478534E-4,5.573554876484879E-4,-1.554487232359765E-4,-8.68252934120441E-4,-0.18531176473563427,1313.1465,-0.1388343801708529,16.451137659110803,89,-7.839108502067387E-4,0.22203839,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000a88_0,342.32844581450297,-0.3035600526557211,1143.3854435138746,-3.252532826156778E-6,215.53746,0.9125159517127074,-0.0014100796571820378,0.0015780145901850924,-2.4157025672060724E-4,-0.002061155103626307,0.9528123080815318,1612.1025,-0.08451840105493102,24.188067453694327,82,9.269391437408238E-4,1.3931509,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000aa1_0,10.513518326431244,0.18246750889781346,1103.7467116347375,9.974523722947118E-7,190.64351,0.9709771342190169,-0.002737776460677948,-3.6770263227221735E-4,-0.0015401815198811265,-0.0027126604074900356,0.9832118836734157,1612.1025,-0.8362709290152576,13.959240832967387,62,-3.4258657908430436E-4,1.995433,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000ab5_0,4.395209549384776,0.07663566513971377,916.4038030358244,1.8440840649309137E-7,103.31517,0.890644356049628,-2.2339768681746015E-4,-1.4247999727883388E-4,-7.18377877692725E-4,-0.0012942757581066162,0.9970591631536183,1600.8655,-0.7941226674457779,27.152433757895746,-19,-0.00121335806856799,2.2054641,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c56_0,5.025975085887864,0.08760735941143519,1103.0404564370629,-1.2626982311171364E-6,351.1864,0.8865818016794974,-0.0011379945285344534,7.512722396838961E-4,-4.6473715925620377E-4,-0.0016807465581963035,0.9961550835974063,1315.998,-0.2433047514224147,27.661576280768877,17,2.0852021002204575E-4,0.38234103,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c67_0,122.51138330691646,0.843284680531685,1240.0810801687012,-1.2380389214553692E-6,338.0176,0.9387960422398343,-6.476668553757341E-4,0.0017546255175569562,5.245198382756617E-4,-7.05585841005633E-4,-0.5374671595368166,1315.998,0.27145610793409986,20.228182653841944,105,0.0016967065319270576,0.43708038,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000d82_0,34.94134969107585,0.5727376183729275,958.1107228281326,1.4415250782180475E-6,74.057884,0.9625155569569652,-0.0030267376039846278,-4.806343596071845E-4,-0.0017399239488620772,-0.00299921353811697,0.8197387513717446,1581.127,-0.8795990991372165,15.904071872859607,34,-4.5311029373952733E-4,0.5731837,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000e47_0,288.67104160198846,-0.9473722007798646,1432.7284084988007,-2.0859163364861298E-7,292.19168,0.8738063063479735,-3.810188184165092E-4,3.0929549453849404E-4,-1.825567017639609E-4,-6.744088980664159E-4,0.32013421121385294,1321.036,-0.23628888270671153,28.979639467115152,69,1.590541488858743E-5,0.81386507,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000000d_0,342.6226143779935,-0.29866413474838877,578.3947932014742,3.0211479864897445E-7,9.403983,0.9986835906530757,-6.955782394528633E-4,-3.941170473437268E-4,-5.803390753317956E-4,-7.665611033198644E-4,0.9543582841967666,1602.0305,-1.9839507389394946,2.9799094436960822,-67,-4.6509991121072776E-4,1.3027515,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
